Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"226787889471",20394-000 | PIPER PA-24-250 | Trunnion Fitting RH Aft,,N7531P--20394-000--CKWGI5,"1","FIXED_PRICE","USD",32.3,,,32.3,"0","","","May-31-25 09:25:24 PDT","Mar-31-26 09:25:24 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787889487",20393-000 | PIPER PA-24-250 | Trunnion Fitting LH Aft,,N7531P--20393-000--BWL9WH,"1","FIXED_PRICE","USD",32.3,,,32.3,"0","","","May-31-25 09:25:27 PDT","Mar-31-26 09:25:27 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787889666",20757-001 | PIPER PA-24-250 | Forward Main Gear Attach Fitting RH,,N7531P--20757-001--LVXZOC,"1","FIXED_PRICE","USD",38.0,,,38.0,"0","1","","May-31-25 09:25:30 PDT","Mar-31-26 09:25:30 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787889802",20821-000 | PIPER PA-24-250 | Nose Gear Rear Drag Link Assembly,,N7531P--20821-000--CKJXW6,"1","FIXED_PRICE","USD",386.65,,,386.65,"0","","","May-31-25 09:25:44 PDT","Mar-31-26 09:25:44 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787889882",21109-000 | PIPER PA-24-250 | Nose Gear Push Pull Rod Assembly,,N7531P--21109-000--ZJH1DW,"1","FIXED_PRICE","USD",91.2,,,91.2,"0","","","May-31-25 09:25:51 PDT","Mar-31-26 09:25:51 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787889900",20814-000 | PIPER PA-24-250 | Nose Gear Front Drag Link LH,,N7531P--20814-000--811KGE,"1","FIXED_PRICE","USD",133.95,,,133.95,"0","","","May-31-25 09:25:54 PDT","Mar-31-26 09:25:54 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787889927",21708-000 | PIPER PA-24-250 | Nose Wheel Steering Bellcrank,,N7531P--21708-000--UEDMA8,"1","FIXED_PRICE","USD",150.1,,,150.1,"0","1","","May-31-25 09:25:57 PDT","Mar-31-26 09:25:57 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787889988",21103-000 | PIPER PA-24-250 | Main Gear Switch Mounting Bracket LH,,N7531P--21103-000--WKUQYR,"1","FIXED_PRICE","USD",117.8,,,117.8,"0","","","May-31-25 09:26:02 PDT","Mar-31-26 09:26:02 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787890016",21725-000 | PIPER PA-24-250 | Nose Gear Aligner Support Bracket,,N7531P--21725-000--ZGWZOX,"1","FIXED_PRICE","USD",107.35,,,107.35,"0","1","","May-31-25 09:26:05 PDT","Mar-31-26 09:26:05 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787890038",20845-000 /  18081-000 / 31322-07 | PIPER PA-24-250 | Bungee - Roller - Bracker.,,N7531P--20845-000-/--18081-000-/-31322-07--GLQ9O3,"1","FIXED_PRICE","USD",96.9,,,96.9,"0","","","May-31-25 09:26:08 PDT","Mar-31-26 09:26:08 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787890199",21067-003 | PIPER PA-24-250 | Main Gear Door Retract Rod LH or RH,,N7531P--21067-003--UUEDEN,"1","FIXED_PRICE","USD",80.75,,,80.75,"0","","","May-31-25 09:26:23 PDT","Mar-31-26 09:26:23 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787890225",21719-005 | PIPER PA-24-250 | Nose Gear Aligner,,N7531P--21719-005--TOVKEV,"1","FIXED_PRICE","USD",69.35,,,69.35,"0","1","","May-31-25 09:26:25 PDT","Mar-31-26 09:26:25 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787890273",21221-000 | PIPER PA-24-250 | Gear Safety Switch Bracket LH,,N7531P--21221-000--S1KECL,"1","FIXED_PRICE","USD",54.15,,,54.15,"0","","","May-31-25 09:26:29 PDT","Mar-31-26 09:26:29 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787890296",20819-000 | PIPER PA-24-250 | Nose Gear Drag Link Assembly RH,,N7531P--20819-000--NUY1L7,"1","FIXED_PRICE","USD",182.4,,,182.4,"0","3","","May-31-25 09:26:32 PDT","Mar-31-26 09:26:32 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787890318",20815-000 | PIPER PA-24-250 | Nose Gear Front Drag Link RH,,N7531P--20815-000--QNPAP0,"1","FIXED_PRICE","USD",133.95,,,133.95,"0","","","May-31-25 09:26:35 PDT","Mar-31-26 09:26:35 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787904780",306171-00 | Sandia Aerospace SAI340 | Quattro Four In One Display Ind. 11-32V,,N7531P--306171-00--GUTRNQ,"1","FIXED_PRICE","USD",1444.95,,,1444.95,"0","2","0","May-31-25 09:37:23 PDT","Mar-31-26 09:37:23 PDT","Indicators","90977","","","Used","","","","","","US","Does Not Apply","",""
"226787906426",86062-086 / 20825-000 | PIPER PA-24-250 | Wheel Axle Tube Assy Spacers & Ferrule,,N7531P--86062-086-/-20825-000--HQ7STL,"1","FIXED_PRICE","USD",139.65,,,139.65,"0","1","0","May-31-25 09:37:42 PDT","Mar-31-26 09:37:42 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787908872","486602 | Maeco | PIPER PA-24-250 | Shimmy Dampener Assembly ""LESS EYEBOLT"" ",,N7531P--486602--TRHHVS,"1","FIXED_PRICE","USD",494.0,,,494.0,"0","","","May-31-25 09:38:20 PDT","Mar-31-26 09:38:20 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226787909222",86062-086 / 20825-000 | PIPER PA-24-250 | Wheel Axle Tube Assy Spacers & Ferrule,,N7531P--86062-086-/-20825-000--WJDEOT,"1","FIXED_PRICE","USD",139.65,,,139.65,"0","2","0","May-31-25 09:38:26 PDT","Mar-31-26 09:38:26 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487032",0513260-4 | Cessna 172RG | Pilot Control Wheel,,N9795B--0513260-4--E3W1WL,"1","FIXED_PRICE","USD",214.7,,,214.7,"0","","","Jun-01-25 04:35:21 PDT","Apr-01-26 04:35:21 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487090",2452019-1 | Cessna 172RG | Ramp Cowl Flap  L/H,,N9795B--2452019-1--WLEM1W,"1","FIXED_PRICE","USD",161.5,,,161.5,"0","","","Jun-01-25 04:35:26 PDT","Apr-01-26 04:35:26 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487122",2443001-3 | Cessna 172RG | Actuator Attach Fitting,,N9795B--2443001-3--K7MK8U,"1","FIXED_PRICE","USD",322.05,,,322.05,"0","","","Jun-01-25 04:35:30 PDT","Apr-01-26 04:35:30 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487167",2413089-1 | Cessna 172RG | Nose Gear Door Actuator Arm Assy,,N9795B--2413089-1--VUVN17,"1","FIXED_PRICE","USD",214.7,,,214.7,"0","","","Jun-01-25 04:35:33 PDT","Apr-01-26 04:35:33 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487204",VR515F | Cessna 172RG | Voltage Regulator 28Volts,,N9795B--VR515F--FKMNDS,"1","FIXED_PRICE","USD",192.85,,,192.85,"0","","","Jun-01-25 04:35:37 PDT","Apr-01-26 04:35:37 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487252",0521101-2 | Cessna 172RG | Courtesy Light Plate  Assy,,N9795B--0521101-2--KGWPWM,"1","FIXED_PRICE","USD",54.15,,,54.15,"0","2","0","Jun-01-25 04:35:41 PDT","Apr-01-26 04:35:41 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487338",2441002-1 | Cessna 172RG | LH Spring- Main Gear,,N9795B--2441002-1--DCAH2J,"1","FIXED_PRICE","USD",483.55,,,483.55,"0","1","0","Jun-01-25 04:35:44 PDT","Apr-01-26 04:35:44 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487370",2414002-1 | Cessna 172RG | Seat Rail L/H Outboard and Inboard- Pilot -Pair,,N9795B--2414002-1--LX5KPN,"1","FIXED_PRICE","USD",257.45,,,257.45,"0","1","","Jun-01-25 04:35:46 PDT","Apr-01-26 04:35:46 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487428",6247-00148 | Rochester | Cessna 172RG | Intrument Cluster Amp/ Oil Press,,N9795B--6247-00148--H5POZZ,"1","FIXED_PRICE","USD",429.4,,,429.4,"0","","","Jun-01-25 04:35:53 PDT","Apr-01-26 04:35:53 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487465",243101-1 | Cessna 172RG | Nose Gear Door Rod - Price per Each,,N9795B--243101-1--VVNYWG,"2","FIXED_PRICE","USD",171.95,,,171.95,"0","","","Jun-01-25 04:35:56 PDT","Apr-01-26 04:35:56 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487494",2460016-1 | Cessna 172RG | Elevator Bellcrank FWD Assembly,,N9795B--2460016-1--GJS6DR,"1","FIXED_PRICE","USD",295.45,,,295.45,"0","","","Jun-01-25 04:35:58 PDT","Apr-01-26 04:35:58 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487536",2413102-1 | Cessna 172RG | Nose gear Door Rod Assy - Price is for Each,,N9795B--2413102-1--SS7VMY,"2","FIXED_PRICE","USD",117.8,,,117.8,"0","","","Jun-01-25 04:36:01 PDT","Apr-01-26 04:36:01 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487557",1500-00-15 | Cessna 172RG | Fuel Boost Pump 28 Volts.,,N9795B--1500-00-15--SPEVPL,"1","FIXED_PRICE","USD",858.8,,,858.8,"0","1","","Jun-01-25 04:36:04 PDT","Apr-01-26 04:36:04 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487579",0517037-1 | Cessna 172RG | Push Rod Cabin Door,,N9795B--0517037-1--RKNADP,"1","FIXED_PRICE","USD",80.75,,,80.75,"0","","","Jun-01-25 04:36:06 PDT","Apr-01-26 04:36:06 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487610",0721105-8 | Cessna 172RG | Pitot Tube Connector,,N9795B--0721105-8--M0AV5L,"1","FIXED_PRICE","USD",85.5,,,85.5,"0","1","0","Jun-01-25 04:36:09 PDT","Apr-01-26 04:36:09 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226789487689",0750624-13 | Cessna 172RG | Fuel Stainer Drain,,N9795B--0750624-13--IAQBE4,"1","FIXED_PRICE","USD",107.35,,,107.35,"0","","","Jun-01-25 04:36:16 PDT","Apr-01-26 04:36:16 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
