Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,12405 Northwest 39th Avenue,X60
02400-l4p-airpath-beechcraft-35-33-dash-mounted-compass-indicator-lighted,"02400-L4P | Airpath | Beechcraft 35-33 | Dash Mounted Compass Indicator, Lighted",Title,Default Title,,,,,N610V--02400-L4P--CANO57,,,1,not stocked
0550176-37-cessna-172e-shroud-assy-exhaust-lh-1,0550176-37 | Cessna 172E | Shroud Assy Exhaust - LH,Title,Default Title,,,,,N5405T--0550176-37--M2UDOL,,,1,not stocked
al-3615x-s-beechcraft-a23a-musketeer-custom-iii-ultra-x-series-par36-led-landing-light-1,AL-3615X-S | Beechcraft A23A Musketeer Custom III | Ultra X Series PAR36 LED Landing Light,Title,Default Title,,,,,N16TH--AL-3615X-S--BOJORD,,,1,not stocked
40-97a-cleveland-6-00-6-beechcraft-a23a-musketeer-custom-iii-wheel-assembly-6-00-6,40-97A | Cleveland 6.00-6 | Beechcraft A23A Musketeer Custom III | Wheel Assembly 6.00-6,Title,Default Title,,,,,N16TH--40-97A--1H4VDS,,,1,not stocked
35-944017-beechcraft-f35-cowl-flap-control-cable-assembly-32,"35-944017 | Beechcraft F35 | Cowl Flap Control Cable Assembly, 32""",Title,Default Title,,,,,N120WM--35-944017--FVEN3G,,,1,not stocked
162-04700-cleveland-beechcraft-c23-sundowner-outer-main-landing-gear-wheel-half-6-00-6,162-04700 | Cleveland | Beechcraft C23 SUNDOWNER | Outer Main Landing Gear Wheel Half (6.00-6),Title,Default Title,,,,,N1945L--162-04700--CTPQN1,,,1,not stocked
x61-0028-lamar-cessna-172e-solenoid-assembly-volts-12,X61-0028 | Lamar | Cessna 172E | Solenoid Assembly (Volts: 12),Title,Default Title,,,,,N5508T--X61-0028--921DVS,,,1,not stocked
0450338-14-cessna-172e-exhaust-inlet-stack-rh-or-lh-7,0450338-14 | Cessna 172E | Exhaust Inlet Stack RH or LH,Title,Default Title,,,,,N5508T--0450338-14--KF4VHV,,,1,not stocked
01-028410-00-piper-pa28-140-throttle-quadrant-cover-1,01-028410-00 | PIPER PA28-140 | Throttle Quadrant Cover,Title,Default Title,,,,,N6301W--01-028410-00--OQQE7J,,,1,not stocked
c163030-0107-cleveland-30-63a-cessna-172-brake-caliper-assy-lh-or-rh,C163030-0107 | Cleveland 30-63A | Cessna 172 | Brake Caliper Assy LH or RH,Title,Default Title,,,,,N6340E--C163030-0107--D4VM81,,,1,not stocked
